asset_id,media_component_id
A104733901667902,
A112530210206935,2_Acts-0-0
A112539331134677,
A112539331134677,2_Acts73??-0-0
A112539331134677,2_Acts7317-0-0
A116722090560098,2_Acts7339-0-0
A116722090560098,2_Acts-0-0
A119651413380415,2_Acts7371-0-0
A119651413380415,
A121629490602184,2_Acts-0-0
A128371089496269,
A132213754571642,2_Acts7361-0-0
A141167143854512,
A142716004647467,2_Acts7339-0-0
A144731325417604,2_Acts7301-0-0
A145834801773351,2_0-Ctrl-Z
A149016372599699,
A149016372599699,2_Acts-0-0
A149125289933252,2_Acts7314-0-0
A149125289933252,2_Acts-0-0
A149125289933252,
A149125289933252,1_jf61??-0-0
A152254760738873,2_Acts7349-0-0
A152254760738873,2_Acts-0-0
A152254760738873,
A154031529602387,
A162644200787420,2_Acts7305-0-0
A162644200787420,
A162644200787420,2_Acts-0-0
A166666071154685,2_Acts-0-0
A166666071154685,2_Acts7355-0-0
A166666071154685,
A168219764682933,2_Acts7305-0-0
A170842836222939,
A170842836222939,2_Acts7302-0-0
A172532021517110,2_Acts-0-0
A176603811155798,2_Acts7302-0-0
A176603811155798,
A182952688532900,
A189184205170576,
A189184205170576,2_Acts-0-0
A197349874615371,
A197349874615371,2_Acts7329-0-0
A197349874615371,2_Acts7307-0-0
A197349874615371,1_jf61??-0-0
A199271715979643,2_Acts7305-0-0
A199271715979643,2_Acts-0-0
A199271715979643,
A201775424158902,2_Acts7347-0-0
A202279646444134,
A207073550332161,
A208141554945502,2_Acts7338-0-0
A214301638493628,
A214301638493628,2_Acts7308-0-0
A219622159791806,7_0-nfs0602
A231057678648484,2_Acts-0-0
A231073594550087,2_Acts-0-0
A231167809729598,2_Acts7329-0-0
A231167809729598,2_Acts7330-0-0
A234275082966109,
A242499169305449,
A242499169305449,2_Acts-0-0
A246378629462119,2_Acts7316-0-0
A246378629462119,2_Acts73??-0-0
A251384078911994,2_Acts-0-0
A254560872504180,
A263178501612127,
A271037828970389,
A273160843793432,2_Acts-0-0
A274268870330872,2_Acts7359-0-0
A275498513830009,
A277154902128001,2_Acts7303-0-0
A277154902128001,
A280833650551142,2_Acts7347-0-0
A285462185739400,
A285462185739400,2_Acts-0-0
A285462185739400,2_Acts7366-0-0
A292164770223897,2_Acts7345-0-0
A292905668904051,2_Acts7349-0-0
A292905668904051,
A292905668904051,2_Acts-0-0
A294313828252051,2_Acts7369-0-0
A301829645522942,2_Acts-0-0
A301829645522942,
A310331226470339,2_Acts7359-0-0
