asset_id,media_component_id
A101004502879539,1_jf6108-0-0
A103637707565625,1_cl-0-0
A104783293563460,1_jf-0-0
A108426125111228,1_jf-0-0
A108533255969500,1_jf6126-0-0
A108769915584376,1_jf-0-0
A108789404587499,1_jf6127-0-0
A110830499354577,1_jf6129-0-0
A112530210206935,2_Acts-0-0
A114438319844292,1_jf61??-0-0
A116821473583932,1_jf6146-0-0
A117464470585835,2_GOJ-0-0
A119651413380415,2_Acts7371-0-0
A119696268443196,1_jf-0-0
A121324145601582,1_jf-0-0
A121629490602184,2_Acts-0-0
A121864482633193,1_jf6156-0-0
A123720211127127,3_0-40DWJ_08-0-0
A126577117162352,3_040DWJ_02-0-0
A127294393391215,1_jf-0-0
A127623714657438,1_jf-0-0
A128454258101863,3_0-40DWJ_06-0-0
A128806225490428,3_0-7DWJ-WWJ_01-0-0
A129539822081013,2_0-Theophilus
A131404757040758,1_riv_01-0-0
A132242928610843,1_jf6147-0-0
A132686834258477,1_jf6109-0-0
A132914521795266,1_jf-0-0
A136770360099334,1_jf-0-0
A137040653031751,1_jf6132-0-0
A139115608915999,1_riv_03-0-0
A139941220637007,3_0-40DWJ_20-0-0
A140121719861598,2_0-OneGod
A141954849204162,1_jf61??-0-0
A142478299022336,2_0-Venia
A142716004647467,2_Acts7339-0-0
A143054657719182,2_0-Jatku-Leiba
A144731325417604,2_Acts7301-0-0
A145834801773351,2_0-Ctrl-Z
A145869921808538,1_jf-0-0
A147657606528601,1_jf6118-0-0
A148113716349676,1_jf6111-0-0
A149016372599699,2_Acts-0-0
A151351405297452,2_0-GodsRescuePlan
A155189367565433,1_jf-0-0
A155213662346191,3_0-40DWJ_40-0-0
A159945412757998,1_jf6108-0-0
A168244238483051,1_jf6134-0-0
A169110739867694,1_jf6112-0-0
A170842836222939,2_Acts7302-0-0
A172532021517110,2_Acts-0-0
A173574684322218,1_jf-0-0
A173793094671807,1_jf-0-0
A174774972622050,1_jf-0-0
A175068805545590,1_jf6126-0-0
A175980908082828,1_riv_08-0-0
A176034467264296,3_0-40DWJ_17-0-0
A176180460946253,3_0-40DWJ_07-0-0
A176603811155798,2_Acts7302-0-0
A176737134599086,1_jf-0-0
A177061344559815,3_0-40DWJ_35-0-0
A179419345536810,1_jf6112-0-0
A181484192799019,1_jf6130-0-0
A181746990965083,1_jf-0-0
A181973815196770,2_0-Medley
A184426426772343,1_riv_01-0-0
A186969530300436,1_jf6106-0-0
A189184205170576,2_Acts-0-0
A195782148521208,1_jf-0-0
A197438735941035,1_jf-0-0
A197570602463011,2_0-Good
A197959762431024,2_0-BMe
A198171447506950,1_riv_03-0-0
A199142206099468,1_jf6126-0-0
A199175234005468,1_jf-0-0
A200439868158996,1_jf61??-0-0
A201101357263272,1_jf-0-0
A201775424158902,2_Acts7347-0-0
A201805467394510,3_0-40DWJ_22-0-0
A202636677910370,3_0-40DWJ_01-0-0
A202703838075283,1_jf-0-0
A203534523090202,1_jf61??-0-0
A205161351590747,1_riv_01-0-0
A206722020730928,1_jf6105-0-0
A208141554945502,2_Acts7338-0-0
A210011534564766,1_jf6112-0-0
A212117669582270,1_jf6101-0-0
A213269632215925,1_jf-0-0
A214070068118826,1_jf-0-0
A214301638493628,2_Acts7308-0-0
A216325148037755,1_jf6140-0-0
A216625135320270,3_0-40DWJ_14-0-0
A216663840952872,1_riv_01-0-0
A219622159791806,7_0-nfs0602
A219960445167464,3_0-40DWJ_14-0-0
A220341417412534,1_riv_03-0-0
A220366092582844,1_jf6132-0-0
A220413591663739,1_jf6125-0-0
A220757219337186,2_0-Perfect
A221060101603920,1_jf6122-0-0
A222482614964298,1_jf6102-0-0
A223241286159681,1_jf-0-0
A224872665487712,1_jf-0-0
A225784453707388,2_0-Tarek
A226174256893513,1_jf6107-0-0
A226667667491080,1_jf6160-0-0
A228007696017434,1_jf-0-0
A231057678648484,2_Acts-0-0
A231073594550087,2_Acts-0-0
A231284865996909,1_wl604402-0-0
A232685416530705,1_riv_12-0-0
A235120305949193,1_jf-0-0
A235721699906601,1_jf-0-0
A235812036282233,1_jf-0-0
A236041745968448,1_jf-0-0
A239864038286407,1_jf-0-0
A240217149337535,1_jf6103-0-0
A242499169305449,2_Acts-0-0
A242786112406824,1_jf61??-0-0
A244387920406523,2_0-Cabernet
A247947623682181,1_jf-0-0
A249311133419207,3_0-40DWJ_22-0-0
A249756697848571,1_riv_07-0-0
A250630009702891,1_jf6154-0-0
A250663473437005,1_jf-0-0
A251384078911994,2_Acts-0-0
A253104897553308,1_riv_04-0-0
A256261685909897,1_jf-0-0
A258927429720954,1_jf-0-0
A262220840553757,1_jf-0-0
A262266894025519,1_jf-0-0
A262757435821088,1_jf-0-0
A262815381888110,1_jf-0-0
A263058510321813,1_jf61??-0-0
A266361459754800,1_jf6160-0-0
A269718412399147,1_jf-0-0
A270012739502751,1_jf-0-0
A270689484241093,1_jf-0-0
A271504287594086,1_jf61??-0-0
A271519993082457,1_jf6116-0-0
A273160843793432,2_Acts-0-0
A273788302121417,1_cl-0-0
A274268870330872,2_Acts7359-0-0
A276664890571234,1_jf6103-0-0
A277154902128001,2_Acts7303-0-0
A280241074817048,1_jf-0-0
A280833650551142,2_Acts7347-0-0
A281552928542464,1_jf6108-0-0
A282296397589912,1_jf-0-0
A282903336996782,2_0-Waiting-Alchemist
A283762636780599,1_riv_03-0-0
A285320595072508,1_jf-0-0
A285334817852532,1_wjv_02-0-0
A288165189133629,1_jf-0-0
A290182277314537,1_jf-0-0
A291645201244480,1_jf6112-0-0
A292749611621243,2_0-Waiting-Alchemist
A294313828252051,2_Acts7369-0-0
A294879882695480,1_jf6109-0-0
A299412898917203,1_jf6160-0-0
A301808237699032,1_riv_04-0-0
A301829645522942,2_Acts-0-0
A302415341509270,1_jf-0-0
A302741494719319,3_0-40DWJ_26-0-0
A303121611975377,2_0-Yol
A305703475566083,1_jf6145-0-0
A306265087241489,1_jf-0-0
A307028727538869,1_fj_1-0-0
A307550538949310,1_jf6112-0-0
A310331226470339,2_Acts7359-0-0
A311902135944886,1_jf61??-0-0
A312835917548452,2_Acts7325-0-0
A313170024637981,1_jf-0-0
A315526322262127,2_0-Leland-Sturgis
A315861259472566,2_Acts7358-0-0
A317839550703314,1_jf6108-0-0
A318733231586729,1_jf-0-0
A319304985411230,3_0-7WDJ-Grace_05-0-0
A319662162224652,1_jf-0-0
A319839428306271,1_jf-0-0
A320616020145868,3_0-40DWJ_10-0-0
A320827151613938,1_riv_01-0-0
A323060773427646,1_jf6108-0-0
A323559721705797,1_jf-0-0
A324880803159466,1_jf-0-0
A327717209180659,1_jf6153-0-0
A328026280631278,2_0-PicketFence
A328542193745992,1_jf6112-0-0
A329044224236948,2_0-CanKnowGod
A329477846119520,2_0-Pennyhouse
A330943186140866,1_jf-0-0
A332720899503806,1_jf-0-0
A332981555515896,1_jf-0-0
A333187120955703,1_jf-0-0
A333462549575235,1_wl604401-0-0
A333516390816706,1_jf-0-0
A334988485570104,2_0-La-Liberte
A338172225199970,1_wl76-0-0
A339313021455476,2_FileZero13-0-0
A339574379483925,1_jf6121-0-0
A339858780429327,1_jf6112-0-0
A341280886767680,1_jf-0-0
A341814093256170,2_0-Restored
A342319006092683,1_jf-0-0
A342405396738426,2_GOJ-0-0
A343107756208849,1_jf-0-0
A347116161313713,1_riv_06-0-0
A347240038072107,1_jf6125-0-0
A348255296408935,1_jf-0-0
A348470093696023,1_jf6108-0-0
A349589329847871,2_Acts7321-0-0
A349749636847709,2_Acts7328-0-0
A351525550711933,1_jf61??-0-0
A351659805466502,2_0-JesusReally
A352204302988378,2_Acts-0-0
A353088908603339,1_jf-0-0
A353374585011028,1_jf-0-0
A354396183850672,1_jf61??-0-0
A354726499025468,1_jf-0-0
A356820818868617,2_Acts-0-0
A357505055688345,1_jf-0-0
A358068737501911,2_0-InfiniteAbyss
A358721109310442,1_jf-0-0
A359679542201776,1_jf6108-0-0
A360000433025217,1_riv_09-0-0
A364655408732462,3_0-40DWJ_08-0-0
A366773028701994,1_jf6126-0-0
A367511397795504,1_jf6107-0-0
A368532597925208,3_0-40DWJ_14-0-0
A368776901670603,1_jf-0-0
A371172673470496,2_Acts7307-0-0
A372692001139402,1_jf6109-0-0
A373236076717257,1_jf6108-0-0
A374364843281805,1_jf-0-0
A375325426209753,2_0-CanKnowGod
A376293291976478,1_jf6109-0-0
A376616213945022,1_cl-0-0
A376825231885830,1_jf6121-0-0
A382159447810462,2_Acts-0-0
A385128635123909,1_jf-0-0
A385361627559952,1_jf-0-0
A386603736939864,1_jf-0-0
A387205634848900,1_jf6106-0-0
A388729979791751,1_jf-0-0
A389295229660258,1_jf61??-0-0
A391661488241351,2_Acts7352-0-0
A393905582970189,1_jf-0-0
A397030368329147,2_0-Yol
A398155055794673,1_jf-0-0
A399468999273072,2_Acts7331-0-0
A399740598304854,3_0-40DWJ_15-0-0
A400411863851294,1_jf-0-0
A401905161248199,3_0-7WDJ-Grace_04-0-0
A403581758586839,2_0-Puzzler
A403945345567421,1_cl-0-0
A404995035243768,1_riv_05-0-0
A407529443926520,1_jf-0-0
A407602092052202,1_jf6121-0-0
A407621510759255,1_jf6126-0-0
A407851620305220,1_jf61??-0-0
A411370568855517,1_jf6138-0-0
A411777336119667,1_jf6126-0-0
A412635038947507,7_0-nfs0602
A413132634383208,2_Acts7364-0-0
A414567757739216,1_riv_01-0-0
A414688209344201,1_jf6158-0-0
A415383443309335,1_jf-0-0
A417452959279936,1_jf61??-0-0
A418388451070644,2_Acts7346-0-0
A421643176947801,3_0-40DWJ_33-0-0
