channel_id,verdict,n_claims
UC---KS-bgXBD_X1BYHQF2Fg,N,1
UC--0NaoUSpV-eCH5NaK-ErQ,N,1
UC--1m0NpQOlp_L0O_bl78fA,N,1
UC--1n0BU0zfXafgnff9kULg,N,1
UC--1rAm-CBzM3EsZIy5uQtQ,N,1
UC--1x1F7H9Ka-zhk62j6GWg,N,1
UC--2J_Co_CsSWFquq90LTHQ,N,1
UC--7sIla2QsxTsAtY2pGqLQ,N,1
UC--94hvnFNv8qUJJhoo9P3Q,N,1
UC--9mL-d81rvV4MrSp7wQcA,N,1
UC--BPxoMM1AzFT7_QIElmfw,N,1
UC--EhP6lc1qKw1DJcw30Quw,N,1
UC--F9pL9TV-g-VFDouQEGkQ,Y,1
UC--HF_EKRhsHf89DjmhVQTw,N,1
UC--ImqWWdcc2bw8XFa3tKxw,N,2
UC--KzJ3Nreq05cDGN0WqJ-A,Y,1
UC--LbffJTPIXkFJPNglkyFw,N,1
UC--M8i0v7pG5JY01Vh39wSw,N,1
UC--N53py4WwDRURPplL8pEQ,N,2
UC--NFHbvIssFuEcsEXkS4oQ,Y,1
UC--QJvfBf0_DSsaTqXpdmkQ,N,1
UC--RdaNXODsKAViX7muC7Sw,N,1
UC--SlifAQmtraQnv4X5FbZw,N,1
UC--Ut08CCKrKw1g6iVpYyTQ,N,1
UC--VAD0dnikn0dp3nsUQQgw,N,1
UC--Xy_WGT3x-OPS_0JxoCfg,Y,1
UC--ehHW1SB00kbeNnt9Zntw,N,1
UC--ggt5qh-kne08izGOqdTQ,N,1
UC--h7K6V1dV5Eu6Ir9CVgTg,N,1
UC--hKJxTjtkdgMrhaMQOYXg,N,1
UC--iQ9uOm7bNhzfEShMRfsQ,Y,1
UC--iUewAO0C2-Z-1mGjOiLw,N,1
UC--inAablnvImntCXLytpIQ,Y,4
UC--ioCKDU-nI8roRBHmvEeg,N,1
UC--k11sP66ATrVYxjVn-f4Q,N,1
UC--kSF8qovlvyH6rNu853Vg,N,1
UC--lThSUCDxvRNeUoQ5N80Q,N,2
UC--oKpK00IdDNG8IphMjUTQ,N,1
UC--pG4S-3xR_A4MOiLgVwRQ,N,1
UC--pJjcJ7Le656t94iXel6Q,Y,1
UC--qCEJTb-maE1xLIY9Zx1w,N,1
UC--tJAbD5EQgf5Oqse0bftg,N,1
UC--vCMUCW4uY5V5xJvjHTOA,N,1
UC--vOUZA6DUsgeUcyt4flLw,N,1
UC--xVKU3WzcPeUwblSie96g,Y,1
UC-00xxSWCKCJId4fSmRXhng,N,4
UC-01D74CgXD6NjvqWq_PQ-w,N,1
UC-01Mf0n-oErkxR2UDqSM5w,Y,1
UC-03aTxCT9q9WR698CcWlyQ,Y,1
UC-067_Vv1-Urr5Xw7r6OBuw,N,1
UC-06OV00HQ2Jt-OjQWnSn7A,N,1
UC-06mzSUEjag-GAbh0kfAvQ,N,1
UC-0BMIN-fcsFA1DwkCXS8xw,N,5
UC-0CcDxdnjm8p4vyQBpSM8A,N,1
UC-0Cq1mv5NrXzKwHHrrVYpg,N,1
UC-0DApKusGj2vY5cDr7nyGQ,N,1
UC-0DF0xzGPS2hfVqTR4OxLg,N,2
UC-0DVO91GvTKoOWyqmx1Xtw,N,2
UC-0FT8Q6AlezQyMowuZsvMg,Y,1
UC-0FuVHwcT3P7j2wZqNkqeg,N,1
UC-0GXnhIagozflXZfWzMBdQ,N,1
UC-0LieYAshE8BiL6aZ8Ci4w,N,1
UC-0MgF2Do4ob0_7CEWunWUw,Y,1
UC-0NAlqf909hUTQ-SCRCIxQ,N,1
UC-0P6Xo1kJZ2SmpN0Zeddqg,N,1
UC-0PN6a6SGNGV_U-3vZUrpQ,N,1
UC-0PrLg7PUisBKEXg4Hk7cA,N,1
UC-0Qos80Q3eD1uXjikc1i0A,N,1
UC-0ReTOUE9_sgVUu8iq-FPw,N,1
UC-0Rmk-lI86WHv5dnB9m7xg,N,1
UC-0SVf1nO6W_01ZmYZ_LUQg,N,1
UC-0SiTf7Ke5BP8CzLdhQciA,N,1
UC-0SwhVveRWWAxZ3FSRDEIA,N,1
UC-0TH6TzGk6Nggfve97uulQ,N,1
UC-0TMnya2M_m74Alt6AhrfA,N,1
UC-0UgL44uUGD9i5GW_Nor1g,N,1
UC-0WH9Tm92vV8sEetG88OiQ,N,1
UC-0WslqCWG6HKDkG5qveWOw,N,1
UC-0XH7sXUz1VrkKLEWW8LFw,N,1
UC-0Xztw7k_t41wHbTVA0Prg,Y,1
UC-0YJjf0xb7Nfug_rzxySTA,N,1
UC-0YRTnOl3EcvY08nITtK_A,N,1
UC-0Z4t3Rsm1r75RdHZaUM7w,N,1
UC-0abqNWatNR4uWQnq_Oxog,Y,3
UC-0d0Vb1FPWGC_mNccLpClA,Y,1
UC-0jqY8_48pmmTtMb8jiFBg,Y,1
UC-0ldczLqe--_keViSu_E-w,N,1
UC-0mNxN51uCD0gZS5eaumHA,N,1
UC-0n0lzLU2QzWYMhl-Hc04Q,Y,1
UC-0nsAXjiSDmSA9GDkzE9ug,N,1
UC-0onyrQWgAkAnTZ3xp9B8g,N,1
UC-0pUKopenGZdMGAirCj2zg,N,1
UC-0rQbb1WanX6d1Uh0Oz9NQ,N,1
UC-0s7LPyHOFaeZeKshBjJWA,N,1
UC-0vfAHE0-UHKQHYOPW3ugQ,N,1
UC-0vwpISqrF6NaZMz7OTEdA,Y,1
UC-0w6s4WgUV5RZzQZqrEfwA,N,1
UC-0wjUjBx4ctVxE1Hp7LAEQ,N,1
UC-0xUsuEdxMcbL2BZXMv5pQ,N,1
UC-1-cQUYrWLOmV9lW3oVjFA,N,1
UC-13FXpsQYbW741PTUZoWdg,Y,1
UC-14RmgEaro4lfSK1atFf0w,Y,1
UC-14mG1RZ4gB6GTLlMcAVww,N,1
UC-15XZDy6hvqKgvOVSLLhPg,N,2
UC-15d2ht4lrvBZ82JYyrKWg,Y,1
UC-15o7CPLWAl1Y_Qb5PjgCQ,N,2
UC-162XvtPgMWPmX32utHqHQ,N,1
UC-16wZWPNCbZTK0XgsZEoMw,N,1
UC-18JaoAgl3eoepEawwbRAA,N,1
UC-18vGLVN5J7UQHQvgErpWw,N,1
UC-19846NOSgZLXhuaYyneQQ,N,1
UC-1AMolfAIUPceNNz7wQ9gw,N,1
UC-1B8cwrvEj3za4dLPds6UA,N,1
UC-1EM9eFT3fA59tUJdT8etA,N,2
UC-1Ebxuy7sHO7SATdCL52TA,N,5
UC-1El6g40l060O7q1a86qtg,Y,1
UC-1F_MtIDpPbjojr9Tyaamg,N,1
UC-1FeImEA0qc53KaFDZ8uMA,N,1
UC-1H1x8eyzpX_3vsBPl0Gwg,Y,2
UC-1Ik7dC-EuAUIY8lFqdAvw,N,1
UC-1J0H62kl_pfRSjdOcqKxQ,N,1
UC-1KeRauiR9M6C5-41wCtng,N,1
UC-1NllhQao8qZOUiJfkuIwg,N,3
UC-1NzDJINSA2X9L3JuTMZ7Q,Y,1
UC-1PjAFEwZukw_rREsM8ALA,N,1
UC-1QYad6RDZKMcoqwkKoviA,N,1
UC-1RufhW4MKbQ5fUlf-0Aig,N,2
UC-1SJCOfAiW5qq9b6aBjVdA,N,1
UC-1XM5o-aTsFVIkix9GustQ,N,1
UC-1YZwj7hItwrD8rmYkfdkQ,N,1
UC-1_0ZIlk-kBJp9yrI_WaFQ,N,1
UC-1_7l2NdwpsJefqfHQSNyA,N,1
UC-1_9sRmuGVsDcNa6pNkj0Q,Y,1
UC-1_NwrhNi-bt0FgdT_HQeQ,N,1
UC-1_Plbt6_EWVSDrs1MdfEQ,N,8
UC-1aitQ_1X-OUZACDUrQRNQ,N,1
UC-1bnJIWJbzSqN2G0cgD9Xw,N,1
UC-1cAqWTqi9Ht7MEFfaN_1Q,N,1
UC-1cjqcQitaepb8GfnRp_KQ,N,1
UC-1df71BQZ5qt7JQJIVIAgg,N,1
UC-1eGFCBBDnHK9Cf5ahABXA,N,1
UC-1f7RaiLcY_AkWMsrcRP8A,Y,1
UC-1hbQqRXFAuS1AkIuAF7cg,N,1
UC-1iePfa3qsGgD-whfQdJzg,Y,1
UC-1jvY-xUODvaqsXsuappbQ,N,1
UC-1mFr7sKGRQ4Ts5Et5WJiw,N,1
UC-1ocjsGiu9cqGcN5dLBMRg,N,1
UC-1ok30MiWUZOpT6IyhFmUw,N,2
UC-1oqImzSqzGf4Ap5EvFi1g,N,1
UC-1r6b4Sc0Vu3emgpurbdkQ,N,2
UC-1rKGtxgqlemdYUVUU1wAQ,N,1
UC-1sxHOvwuB__j3OdXmor6w,N,1
UC-1tXIJGfNu62uiN0yGbsyQ,N,1
UC-1tclPSM6L_VIliprUFPuA,N,1
UC-1urvxVmh_R-5rbRF2ydww,N,1
UC-1vvSStufO460YAqIq4KtQ,Y,1
UC-1w1WiOgNlAqIymjGUEEDg,N,1
UC-1xddsZC8bY_SkMfgBm8kw,N,1
UC-1xomCSnsq3fHMW1lLCOGg,N,1
UC-1zc-Cn1OyHXpGjzY-cTXw,Y,1
UC-1zgCsK20Dr0RKdlbFBSsA,N,1
UC-2-RTEr-JfjMvHqSdIbkkg,N,1
UC-20WaHIMkJS7Cd0gME2pZw,N,1
UC-271jtSN0rLnurM3Yx45vQ,N,2
UC-299hX-SksE7iZRXsT7V-Q,N,1
UC-29blJGrRvOkEJVCqXmgUw,N,3
UC-2ALzGBpBAJqAQ4u-LOe4g,N,1
UC-2BQ7TXx_8t_257zy5N-zw,Y,1
UC-2BgpkzubTTTC_gmVuy90Q,N,1
UC-2CfNZs5ouHML_QlxFj9dw,N,1
UC-2CyplzT3zhQvzbeOH6Xeg,N,1
UC-2DIo5LUvYUd4cvULWRjng,N,3
UC-2FC8hTqREFbayau28gINg,Y,1
UC-2JBxXcvJM07deJI_Qmm4A,N,1
UC-2K2tRpSIbu7mbpGhr9LlA,N,1
UC-2KBaoLfjNDuQQR0u0it0Q,Y,1
UC-2MLL1F5E9ZU6EaTk2jkuw,Y,1
UC-2MzD8csNWUza84iWEmzng,N,1
UC-2OPCpPJsD9RciXdpzr4Gg,N,1
UC-2P4o9XRVDcbmsbAoAzxfA,N,1
UC-2Q9fPWRtF177wPAwdF4tA,Y,1
UC-2Rwn9FeOItuqzn6XASsPg,N,1
UC-2TIdSfdYLVXpFAJ9uZNUQ,N,1
UC-2TiOSLLvIlD5S7E31wI6w,N,1
UC-2Twwjxykfii3O-jz7444w,N,1
UC-2UTr9YafB0nwQhVIOKEgQ,N,2
UC-2UoKQtPKZZHqBPf8zY9CQ,N,1
UC-2XnE9_ooRgCJPbiOxkymA,N,2
UC-2XuW5Eu09fHqv1Hk1hENA,N,1
UC-2Yefz-3jNVauXhyRsyfOw,N,1
UC-2_KeU-X2gilCzLm4ZPYKw,N,1
UC-2_a2awIjSmELuIzg1phug,Y,1
UC-2_nNK18t2Z-gm3QkBfNPw,N,1
UC-2buNSPj7XHt7QVCe6fP3w,N,1
UC-2fpmcG7qzoUPASAFC74ag,N,1
UC-2gar8O08WDx0V95-4-Xfg,N,1
UC-2hjxMCH_VI6frpfDiFayQ,N,1
UC-2k0O3Wws9DlfsrbUTPtwQ,N,1
UC-2kV9Zb0NJq8xvMuRD1-bw,N,5
UC-2mMeCs3KGbQfhWXxrhOtg,N,1
UC-2mTXZZk26yj8vTRmFs20g,Y,1
UC-2nB5Snu5buzmXg9j4dCfg,N,1
UC-2nCn879qg3eXSIECgLD1Q,Y,1
UC-2ojHkxoPMUIQd4WgFhKHA,N,1
UC-2p1uhM_eGhsQv8J2A2DQw,N,1
UC-2vDdjMemL0r5R02CpTAEw,N,2
UC-2vkxwrUidli32ngnUHW7A,N,1
UC-2vwUtn-bQ87uCRhcIC0sA,N,3
UC-2zLY7yM977fAcqSlCOj4w,N,1
UC-2zTYakoW9DQw6eyzwY2KA,N,3
UC-3-6ZWmawOXRnVsDQUVjow,N,1
UC-3-UXcM9JbwAwf4cIIqydA,N,1
UC-3-_E-BIzHYR7mZi38jEyA,Y,2
UC-30tC1ZMZUsDrBv1vP9UIg,N,1
UC-34aj7YZmALRS43DMgFmAA,Y,1
UC-359o-gNt67lXk2C01BY2w,N,1
UC-36Jx_XcVdfRLDP8vPDUmg,N,1
UC-38ebO_LvFlXYVPaYrjePw,Y,1
UC-39Fdi77z3FwWdqXLDerJw,N,1
UC-3B-dM6KWlSGQY3eDq3JsQ,N,1
UC-3BR4eFkWuwzj8GGrkUiZw,N,1
UC-3CADu19s3PfqMqTk19MFQ,N,3
UC-3F3bHhVSe55JzeyoYlmEw,Y,1
UC-3GYnBlQil36i4k0PayIJA,N,1
UC-3Hy-9zAKhAAUakQD1rF5w,N,1
UC-3L6djhV1dJiUHYb2pdsxQ,N,1
UC-3LbSMhLmIQI1EQ7qsBG_Q,N,1
UC-3LzOjuoUexC9cNVuc6Rdw,N,1
UC-3OD3vgExihyS1wP_22_yg,N,1
UC-3OKdITrxpNJg9CdFSdhfw,N,1
UC-3PIjSDJ3KhAjEf5Rrjabg,N,1
UC-3Pm1dM0PQZqxpzYorEaVw,N,1
UC-3QxpC8mLUC3dCCwtG9-GA,N,1
UC-3SpfLTIWr1takkh0KEE0A,Y,1
UC-3XZWdGwjdkeEYYaPy2PGw,Y,1
UC-3YGXjKAcEgVvTwBOhavoA,N,1
UC-3ZIaME0g_60HlCoIB_CkA,N,1
UC-3ZYyh7Wyi_u_So_KLixYg,N,1
UC-3eG-oyS5oZ4k9CzYl_fOw,N,1
UC-3elNpmJRao3Se_NV26OcQ,N,1
UC-3hgpMY2ssVm_lbFTLQwhA,Y,1
UC-3hlVGGKCl0Zlg1XH9iEcw,N,1
UC-3n2Cxkdco_SN7pT5tufZA,N,1
UC-3oML40wuwAk_kRQyC06Mw,N,1
UC-3s1VccGCiwKVV4twLAlUg,N,1
UC-3sau0u4_8JYm7V4-ORUKQ,N,1
UC-3sg3NQ3mnRNqEJ483P6vg,N,1
UC-3t355XHGys22Ct9XTNQew,N,1
UC-41KkwN181hm3qEEsizsfQ,N,1
UC-41jE_Vh8BFIsWP9xPJHMg,N,1
UC-42fUbYqaeoX7xOeFpVzyA,N,1
UC-43HHDl5vowJtOw_HByxPw,N,1
UC-43pmwOr0HI82KAH8EJK0Q,N,1
UC-47H8kKTdQbMGbdTb2zvaw,N,1
UC-49ARb13LARWBXgBu1aDwQ,Y,1
UC-49y6zrg26EU08Wini92RA,N,2
UC-4B-RBonnInHBnWHNUxmCQ,N,1
UC-4BbBWt59kcC89j9VUnP5Q,N,1
UC-4CVweVq8mzuyqQDkte86A,N,2
UC-4Cx78HXfVR9L5e9U-chzA,N,1
UC-4FRuFTmNkF9TJn9HvvuQg,Y,1
UC-4G2SUYo67kqw1l0PgtQ-g,N,1
