claim_id,claim_status,claim_status_detail,claim_origin,claim_type,asset_id,video_id,uploader,channel_id,channel_display_name,video_title,views,matching_duration,longest_match,content_type,reference_video_id,reference_id,claim_policy_id,asset_policy_id,claim_policy_monetize,claim_policy_track,claim_policy_block,asset_policy_monetize,asset_policy_track,asset_policy_block,claim_created_date,video_upload_date,custom_id,video_duration_sec,asset_title,asset_labels,tms,director,studio,season,episode_number,episode_title,release_date,hfa_song_code,isrc,grid,artist,album,record_label,upc,iswc,writers,duration,duration_seconds,verdict,wave,language_id,media_component_id,claimid,claim_last_updated_date,no_code,claim_report_source,licensed,video_available,rating,zeroshot_score_A,zeroshot_score_I,zeroshot_score_M,zeroshot_score_P,zeroshot_score_Q,zeroshot_score_S,zeroshot_score_T
l1RErH6tH1U,ACTIVE,,AUDIO_MATCH,AUDIO,A381345961400655,__KvYv8ucV0,,UCI4uy4wSBooRKSICpo74b8Q,Huellas de Dios,Jesús te dice hoy #jesus,616,46,39,UGC,,xfm-bqRcB4U,,S861697689228990,,,,,EVERYWHERE,,2025/08/14,2025/08/14,,43,Magdalena - Director's Cut - 1_16107-wl-0-0,#all-assets|Jesus Film|Jesus Film Audio|JesusFilm|JesusFilmAudio,,,,,,,,,QZJZ22300148,,Jesus Film,,,,,,,0,U,0,,,0,,,matter_2,False,True,0.09090909090909091,0.10748573392629623,0.14297083020210266,0.10711272060871124,0.14559179544448853,0.14433740079402924,0.23002205789089203,0.12247942388057709
9XZtQ1SIh1g,ACTIVE,,VIDEO_MATCH,VISUAL,A823461626164710,__qpEd9Q5n8,,UCCwJ2SxglZnT3PJteSc-d0g,Tatiana Cerda,MEU. Roxana Contreras. Dificil es,44,132,132,UGC,1ywOIaw47A0,d2lMI9GTVbw,,S145091271556282,,,,,EVERYWHERE,,2023/07/16,2023/07/16,1ywOIaw47A0,138,JESUS,#all-assets|Jesus Film,,,,,,,,,,,,,,,,,,0,U,0,,,0,,,matter_entertainment,False,True,0.45454545454545453,0.09426556527614594,0.3260241150856018,0.06295367330312729,0.07338942587375641,0.23461805284023285,0.10413717478513718,0.10461194813251495
dpgesHPUjrc,ACTIVE,,VIDEO_MATCH,VISUAL,A656803222996297,__s1c5EEOcA,,UCA5bd1Pt3kFRWPn8qJUCOvg,Jesus life 7213,yashu ka vachan ✝️❤️✝️ #bibletranslation #yeshuzindahai #shortvideo #shorts,1487,55,54,UGC,FMwgK57yi5I,aqz6nRUOvyI,,S145091271556282,,,,,EVERYWHERE,,2025/06/07,2025/06/07,FMwgK57yi5I,60,JESUS Film (Full Movie 4K) | Easter Premiere | The Life of Jesus Christ from the Gospel of Luke,#all-assets|Jesus Film Media,,,,,,,,,,,,,,,,,,0,U,0,,,0,,,matter_entertainment,False,True,0.0,0.23094181716442108,0.09307792782783508,0.17793779075145721,0.32232391834259033,0.046534035354852676,0.0869574248790741,0.04222710430622101
uOssp0hJJyg,ACTIVE,,VIDEO_MATCH,VISUAL,A823461626164710,_-2yTd43yOU,,UCDLTfmpFJF5vcFyyX4FOSvA,Shahzad Maqsood,August 15  2024,2,41,22,UGC,1ywOIaw47A0,d2lMI9GTVbw,,S145091271556282,,,,,EVERYWHERE,,2024/08/15,2024/08/15,1ywOIaw47A0,61,JESUS,#all-assets|Jesus Film,,,,,,,,,,,,,,,,,,0,U,0,,,0,,,matter_entertainment,False,True,0.0,0.10945351421833038,0.12861715257167816,0.10956403613090515,0.13810676336288452,0.14385825395584106,0.2564098834991455,0.1139904111623764
eZBnV9sXG7I,ACTIVE,,VIDEO_MATCH,VISUAL,A823461626164710,_0sBxUVGqeY,,UCP6aRFoGRP7EnFwoCmyTa8Q,Alix Joseph,11 de xullo de 2023,0,75,75,UGC,1ywOIaw47A0,d2lMI9GTVbw,,S145091271556282,,,,,EVERYWHERE,,2023/07/11,2023/07/11,1ywOIaw47A0,119,JESUS,#all-assets|Jesus Film,,,,,,,,,,,,,,,,,,0,U,0,,,0,,,matter_entertainment,False,True,0.0,0.13496871292591095,0.13737088441848755,0.11593101918697357,0.1426452249288559,0.12809771299362183,0.22146157920360565,0.11952482908964157
wkjzp9q6RGQ,ACTIVE,,VIDEO_MATCH,VISUAL,A656803222996297,_0ZgNK1chdE,,UCnm7psXKOkuZW-LuWk1oCBg,,దాటిపోవు వాడు కాదు యేసు దైవము || #teluguchristiansongs by Dr. Joyce Karunakar Dass #christiansongs,0,56,41,UGC,FMwgK57yi5I,aqz6nRUOvyI,,S145091271556282,,,,,EVERYWHERE,,2025/08/05,,FMwgK57yi5I,447,JESUS Film (Full Movie 4K) | Easter Premiere | The Life of Jesus Christ from the Gospel of Luke,#all-assets|Jesus Film Media,,,,,,,,,,,,,,,,,,0,U,0,,,0,,,matter_entertainment,False,True,0.0,0.1021953821182251,0.08643920719623566,0.16466070711612701,0.20631809532642365,0.12310315668582916,0.12978388369083405,0.18749961256980896
KYM9ME3smfA,ACTIVE,,VIDEO_MATCH,VISUAL,A656803222996297,_2CBbGrfVtc,,UCfvIHA-uMaseVmwMUSqAi_Q,VICINIRIDA TV,CON DIOS AL AMANECER - Evangelio San Marcos  3  13 - 19  Viernes  24  Enero 2025 - VICINIRIDA TV,58,93,85,UGC,FMwgK57yi5I,aqz6nRUOvyI,,S145091271556282,,,,,EVERYWHERE,,2025/01/23,2025/01/24,FMwgK57yi5I,165,JESUS Film (Full Movie 4K) | Easter Premiere | The Life of Jesus Christ from the Gospel of Luke,#all-assets|Jesus Film Media,,,,,,,,,,,,,,,,,,0,U,0,,,0,,,matter_entertainment,False,True,0.0,0.17844709753990173,0.06041111797094345,0.23552992939949036,0.2453441172838211,0.04650365188717842,0.1848643720149994,0.04889972135424614
QjA_VjtAu8o,ACTIVE,,VIDEO_MATCH,VISUAL,A656803222996297,_2n4Tr0U79k,,UCGBEC4mtCasj0yxEvd0n3GA,Jesus Love2,tumhare ek gal per koi thappad mare to dusra girl hai agava dena,2,61,60,UGC,FMwgK57yi5I,aqz6nRUOvyI,,S145091271556282,,,,,EVERYWHERE,,2025/08/19,2025/08/19,FMwgK57yi5I,61,JESUS Film (Full Movie 4K) | Easter Premiere | The Life of Jesus Christ from the Gospel of Luke,#all-assets|Jesus Film Media,,,,,,,,,,,,,,,,,,0,U,0,,,0,,,matter_entertainment,False,False,0.0,0.11662176996469498,0.08622536063194275,0.07512965798377991,0.30901607871055603,0.13257402181625366,0.15670903027057648,0.12372417002916336
YA5k_TZN0A4,ACTIVE,,VIDEO_MATCH,AUDIOVISUAL,A151146944261752,_2oXND-lICY,,UC-fuJxwBQ2Kq5pZCE5-6dKg,sadhana,हे दाऊद की संतान मुझ पर दया करें ✝️?#yeshu #jesus #shorts #video #motivation #biblestudy,14216,34,34,UGC,eiaefgki4hU,t_I-ht-sdNw,,S145091271556282,,,,,EVERYWHERE,,2025/08/10,2025/08/10,eiaefgki4hU,47,The Jesus Film,#all-assets|Jesus Film Media,,,,,,,,,,,,,,,,,,0,U,0,,,0,,,matter_entertainment,False,True,0.09090909090909091,0.282879501581192,0.09827602654695511,0.16243432462215424,0.30453184247016907,0.05679050460457802,0.0553085096180439,0.03977930545806885
P8w1hG4vtNc,ACTIVE,,VIDEO_MATCH,VISUAL,A823461626164710,_2P4oxOct6U,,UCdwNS_KK7CM1K8tu9cTybkg,Trigga Bee,Trigga Bee remember lord 2025 production,2,85,66,UGC,1ywOIaw47A0,d2lMI9GTVbw,,S145091271556282,,,,,EVERYWHERE,,2025/08/16,2025/08/16,1ywOIaw47A0,210,JESUS,#all-assets|Jesus Film,,,,,,,,,,,,,,,,,,0,U,0,,,0,,,matter_entertainment,False,False,0.0,0.11784948408603668,0.13601085543632507,0.14661255478858948,0.14292465150356293,0.09817611426115036,0.24866944551467896,0.10975690186023712
kwBAoL7C06w,ACTIVE,,VIDEO_MATCH,VISUAL,A656803222996297,_3_OQUAxdKY,,UCyTOy7x3Cu8DnlaTuBl6-3g,Jesus Christ,Jesus is the truth#assamese #song #gospel #Jesus#voiceeffects #music #christmas,7,55,55,UGC,FMwgK57yi5I,aqz6nRUOvyI,,S145091271556282,,,,,EVERYWHERE,,2025/08/08,2025/08/08,FMwgK57yi5I,56,JESUS Film (Full Movie 4K) | Easter Premiere | The Life of Jesus Christ from the Gospel of Luke,#all-assets|Jesus Film Media,,,,,,,,,,,,,,,,,,0,U,0,,,0,,,matter_entertainment,False,True,0.2727272727272727,0.08771231770515442,0.07312438637018204,0.24742576479911804,0.12257552146911621,0.0788768082857132,0.3147853910923004,0.07549985498189926
jYH_Y84k9Wo,ACTIVE,,VIDEO_MATCH,VISUAL,A656803222996297,_3-Vb5mym38,,UCxdmgwcEaFWSwLMnT-Jt7-g,CHURCH TV,JESUS MOVIE IN NEPAL,324,41,41,UGC,FMwgK57yi5I,aqz6nRUOvyI,,S145091271556282,,,,,EVERYWHERE,,2025/08/26,2025/08/26,FMwgK57yi5I,59,JESUS Film (Full Movie 4K) | Easter Premiere | The Life of Jesus Christ from the Gospel of Luke,#all-assets|Jesus Film Media,,,,,,,,,,,,,,,,,,0,U,0,,,0,,,matter_entertainment,False,True,0.0,0.1251211166381836,0.05938432365655899,0.27497121691703796,0.0762035921216011,0.07070552557706833,0.3532748222351074,0.04033943638205528
ecmxt91_5Kk,ACTIVE,,VIDEO_MATCH,VISUAL,A656803222996297,_3WAX4N827U,,UChMz6txG2kz3gFDQX7hAvDg,arun anb news,नरेंद्र मोदी जी ने बताया yeshu masih ka vachan |#primeminister #modi #modiji #modification #news,88,40,21,UGC,FMwgK57yi5I,aqz6nRUOvyI,,S145091271556282,,,,,EVERYWHERE,,2025/07/07,2025/07/07,FMwgK57yi5I,37,JESUS Film (Full Movie 4K) | Easter Premiere | The Life of Jesus Christ from the Gospel of Luke,#all-assets|Jesus Film Media,,,,,,,,,,,,,,,,,,0,U,0,,,0,,,matter_entertainment,False,False,0.0,0.15458108484745026,0.15689578652381897,0.0802573561668396,0.16765326261520386,0.18731871247291565,0.1345498263835907,0.11874402314424515
