WESS_LAN_num,ISO_lang,Anglicized_name,Language_JFProd,Language_name_WCD,Dialect_name
139226,aaa,Ghotuo,GHOTUO,Ghotuo,
10616,aai,Arifama,ARIFAMA-MINIAFIA,,
20538,aao,East Maghribian,"ARABIC, NORTH AFRICAN",East Maghribian,
4468,aar,Afar,AFAR,Afar,
12296,aau,Abau,ABAU,Abau,
139244,abc,Ambala,"AYTA, AMBALA",Ambala,
15909,abi,Wider Abidji,ABIDJI,,
5074,abk,Abkhaz,ABKHAZ,Abkhaz,
139250,abl,Abung,LAMPUNG NYO,Abung,
96911,abp,Abenlen,"AYTA, ABELLEN",Abenlen,
16891,abs,Ambon Malay,"MALAY, AMBONESE",Ambon Malay,
5166,acd,Kyode,GIKYODE,Kyode,
17688,ace,Achinese,ACEH,,
13555,ach,Acholi,ACHOLI,Acholi,
21061,acm,Baghdadi,"ARABIC, IRAQI BAGHDADI",Northeast Arabic,Baghdadi
184627,acq,Yemeni,"ARABIC, TA'IZZI YEMENI",Yemeni,
5441,acr,Achi Rabinal,"ACHI, RABINAL",Achi Rabinal,
139273,acu,Achuara,ACHUAR-SHIWIAR,Achuara,
50836,ada,Dangme,ADANGME,,
5338,ade,Galong,ADELE,Galong,
20521,adh,Adhola,DHOPADHOLA,Adhola,
24173,adi,Wider Adi,ADI,,
16116,adj,Jukru,ADIOUKROU,Jukru,
24409,adl,Galong,GALO,Galong,
23089,adx,Ambo,"AMDO, TIBETAN",Choni,Ambo
20522,ady,Adyghe,ADYGEY,Adyghe,
96809,adz,Adzera,ADZERA,,
20547,aeb,Ifriqi General,"ARABIC, TUNISIAN",East Maghribian,Ifriqi General
4532,aec,Upper Egyptian Arabic,"ARABIC, SAIDI SPOKEN",Upper Egyptian Arabic,
96819,aeu,Akeu,AKEU,Akha,Akeu
139181,afb,Gulf Arabic,Arabic Gulf,Gulf Arabic,
179212,afe,Tugwang,UTUKWANG,Tugwang,
184632,afe,Obe,OBE NRUNG ENE,,
1444,afr,Afrikaans,AFRIKAANS,Afrikaans,
9291,agb,Gbo,LEGBO,Gbo,
9290,agc,Agatu,AGATU,North idoma,Agatu
96835,agd,Agarabi,AGARABI,Agarabi,
139319,agm,Angaatiha,ANGAATAHA,Angaatiha,
139321,agq,Ghem,AGHEM,Ghem,
139322,agr,Aguajun,AWAJUN,Aguajun,
5170,aha,Hanta,AHANTA,Hanta,
3712,ahk,Akha,AKHA,Akha,
6330,ahr,Ahirani,AHIRANI,Khandesi,Ahirani
139342,aia,Arosi,AROSI,Arosi,
20551,aii,Neo-Assyrian,ASSYRIAN,Neo-Assyrian,
4797,aiw,Aari,AARI,Aari,
1280,ajg,Aja,AJA-GBE,Aja,
53347,ajp,South Syro Palestinian,"ARABIC, PALESTINIAN",Levantine Arabic,South Syro Palestinian
139370,ajz,Amri,AMRI KARBI,Amri,
5288,aka,Fante,FANTE,Fante,
20525,aka,Twi,TWI,Twi,
185199,aka,Asharti,ASANTE TWI,Twi,Asharti
17689,akb,Angkola,BATAK ANGKOLA,Angkola,
139376,akh,West Angal,ANGAL HENENG,,
12853,akl,Akla,AKLANON,Akla,
20528,aln,Kosova,"ALBANIAN, KOSOVAR",Gheg,Kosova
20526,als,South Tosk,ALBANIAN,South Tosk,
21554,alt,Altay Kizhi,ALTAI,Altay Kizhi,
4793,alw,Alaba,ALABA,Alaba,
14694,alz,Alur,ALUR,Alur,
139411,ame,Yanesha,YANESHA',Yanesha,
